tscriptid,tscriptname,ottdartid,status,ensdartid,tname,comments
ZDB-TSCRIPT-131113-2881,si:dkey-246m18.3-001,OTTDART00000057829,,ENSDART00000153606.3,BX571794.3-204,
ZDB-TSCRIPT-131113-1280,si:dkey-246m18.3-002,OTTDART00000057831,,ENSDART00000155105.3,BX571794.3-206,
ZDB-TSCRIPT-131113-1281,si:dkey-246m18.3-004,OTTDART00000057834,retained intron,ENSDART00000153648.2,BX571794.3-203,
ZDB-TSCRIPT-131113-4479,si:dkey-246m18.3-005,OTTDART00000057833,,ENSDART00000153724.2,BX571794.3-202,
ZDB-TSCRIPT-131113-2882,si:dkey-246m18.3-006,OTTDART00000057832,,ENSDART00000156594.3,BX571794.3-201,
ZDB-TSCRIPT-131113-1292,si:ch1073-340i21.1-002,OTTDART00000057922,retained intron,ENSDART00000157121.2,wu:fb18f06-204,
ZDB-TSCRIPT-131113-1293,si:ch1073-340i21.3-002,OTTDART00000057925,retained intron,ENSDART00000156366.2,si:ch1073-340i21.3-202,
ZDB-TSCRIPT-131113-1311,pik3r3a-002,OTTDART00000058885,retained intron,ENSDART00000164308.2,pik3r3a-202,
ZDB-TSCRIPT-131113-1312,wnt9a-002,OTTDART00000058888,NMD,,,no Ensembl ID match.  transcript withdrawn?
ZDB-TSCRIPT-131113-1349,ptprfb-003,OTTDART00000059102,retained intron,ENSDART00000155124.2,ptprfb-203,
ZDB-TSCRIPT-131113-1357,pbx1a-002,OTTDART00000059130,retained intron,ENSDART00000165782.2,pbx1a-203,
ZDB-TSCRIPT-131113-1359,znf414-003,OTTDART00000059139,NMD,ENSDART00000156722,,
ZDB-TSCRIPT-131113-1361,ivns1abpb-002,OTTDART00000059145,retained intron,ENSDART00000163384.2,ivns1abpb-204,
ZDB-TSCRIPT-131113-1365,trnau1apb-010,OTTDART00000059158,retained intron,ENSDART00000155677.3,trnau1apb-210,
ZDB-TSCRIPT-131113-1371,si:ch211-178n15.1-002,OTTDART00000059178,NMD,ENSDART00000154107,,
ZDB-TSCRIPT-131113-139,cox6b2-003,OTTDART00000048630,retained intron,ENSDART00000156223.2,cox6b2-203,
ZDB-TSCRIPT-090929-14597,carf-002,OTTDART00000033647,,ENSDART00000132770.2,carf-202,
ZDB-TSCRIPT-131113-1398,carf-003,OTTDART00000059321,retained intron,ENSDART00000155728.2,carf-205,
ZDB-TSCRIPT-131113-14,kpna2-002,OTTDART00000024565,artifact,,,no Ensembl ID match.  transcript withdrawn?
ZDB-TSCRIPT-131113-1409,ottdart00000059394,OTTDART00000059394,NMD,ENSDART00000149613,,
ZDB-TSCRIPT-131113-1411,msi2b-013,OTTDART00000059400,retained intron,ENSDART00000142827.2,msi2b-204,
ZDB-TSCRIPT-131113-1416,crebzf-002,OTTDART00000059417,NMD,ENSDART00000156044,,
ZDB-TSCRIPT-131113-142,desmb-003,OTTDART00000048705,retained intron,ENSDART00000156731.2,desmb-203,
ZDB-TSCRIPT-131113-1431,si:ch211-225o7.1-001,OTTDART00000059490,retained intron,ENSDART00000156291.2,CT025690.1-201,
ZDB-TSCRIPT-131113-3046,si:dkey-188k17.3-001,OTTDART00000059536,,ENSDART00000169947.2,BX908386.2-202,
ZDB-TSCRIPT-131113-3047,si:dkey-188k17.3-004,OTTDART00000059539,,ENSDART00000141041.3,BX908386.2-201,
ZDB-TSCRIPT-131113-1446,si:dkey-188k17.3-002,OTTDART00000059538,retained intron,ENSDART00000163105.2,BX908386.2-204,
ZDB-TSCRIPT-131113-1490,klf7b-002,OTTDART00000059695,artifact,,,no Ensembl ID match.  transcript withdrawn?
ZDB-TSCRIPT-131113-15,rnf113a-002,OTTDART00000024785,retained intron,ENSDART00000155170.2,rnf113a-202,
ZDB-TSCRIPT-131113-159,si:ch73-141c7.1-002,OTTDART00000048802,retained intron,ENSDART00000155195.2,si:ch73-141c7.1-202,
ZDB-TSCRIPT-131113-1596,hbbe1.2-003,OTTDART00000060093,retained intron,ENSDART00000155050.2,hbbe1.2-202,
ZDB-TSCRIPT-131113-1609,kat2a-002,OTTDART00000022052,retained intron,ENSDART00000163603.2,kat2a-203,
ZDB-TSCRIPT-131113-1614,rps27a-004,OTTDART00000028135,retained intron,ENSDART00000157035.3,rps27a-205,
ZDB-TSCRIPT-131113-3213,rps27a-005,OTTDART00000028136,,ENSDART00000154932.2,rps27a-202,
